database_id	pathway_name	panel_group	source	global_match	sig_global	NES_limma	padj_limma	NES_voom	padj_voom	NES_deseq2	padj_deseq2	status	sig_panel	consistent_methods	persists_composition	robustness_score	robustness_class	external_replication	compartment_association	biological_coherence
hsa04110	Cell cycle	ORIGINAL_10	KEGG	KEGG_CELL_CYCLE	TRUE	1.75113988561816	3.22243305058975e-06	2.54639675726145	8.26101897600944e-15	2.26000886433905	3.68093587708456e-10	ROBUSTA	TRUE	TRUE	TRUE	4	ROBUSTA	avaliada via candidatos (ITGA2/FN1/CCND1 replicados em GSE33630/GSE60542/GSE224356)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04115	p53 signaling pathway	ORIGINAL_10	KEGG	KEGG_P53_SIGNALING_PATHWAY	TRUE	1.89078439571939	8.3567701780757e-05	1.9596583826028	0.000146465916105578	2.00524458054736	4.99414751516478e-05	ROBUSTA	TRUE	TRUE	TRUE	4	ROBUSTA	avaliada via candidatos (ITGA2/FN1/CCND1 replicados em GSE33630/GSE60542/GSE224356)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04140	Autophagy - animal	ADDITIONAL_20	KEGG	KEGG_REGULATION_OF_AUTOPHAGY	FALSE	-0.766929297610013	0.973747588079754	1.97730181673002	1.93024280207894e-06	1.44856467969651	0.010972510972511	NS	FALSE	FALSE	FALSE	0	FRACA	não avaliada diretamente (candidatos como proxy)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04150	mTOR signaling pathway	ORIGINAL_10	KEGG	KEGG_MTOR_SIGNALING_PATHWAY	FALSE	-1.06397580671634	0.656512450764404	1.46599932204396	0.00927682901117436	1.11994790299264	0.258855880824528	NS	FALSE	FALSE	FALSE	0	FRACA	avaliada via candidatos (ITGA2/FN1/CCND1 replicados em GSE33630/GSE60542/GSE224356)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04151	PI3K-Akt signaling pathway	ORIGINAL_10	KEGG	NA	FALSE	-1.06291607886192	0.638382315614592	1.18251340401299	0.0962462963326335	1.12859216426862	0.180963045912654	NS	FALSE	FALSE	FALSE	0	FRACA	avaliada via candidatos (ITGA2/FN1/CCND1 replicados em GSE33630/GSE60542/GSE224356)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04210	Apoptosis	ORIGINAL_10	KEGG	KEGG_APOPTOSIS	FALSE	1.14563271734897	0.221568632834102	1.98226292106877	5.55727980030574e-06	1.81582871181977	0.000105775146229215	NS	FALSE	TRUE	FALSE	1	FRACA	avaliada via candidatos (ITGA2/FN1/CCND1 replicados em GSE33630/GSE60542/GSE224356)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04216	Ferroptosis	ADDITIONAL_20	KEGG	NA	FALSE	0.905643244123759	0.782419495213229	2.03764607818116	0.000264280203087239	1.85012349164324	0.0033655722302156	NS	FALSE	TRUE	FALSE	1	FRACA	não avaliada diretamente (candidatos como proxy)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04218	Cellular senescence	ADDITIONAL_20	KEGG	NA	FALSE	0.946465958760733	0.638382315614592	2.07949890178662	1.19081450069262e-07	1.77125030833967	8.09516031329663e-05	NS	FALSE	TRUE	FALSE	1	FRACA	não avaliada diretamente (candidatos como proxy)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04310	Wnt signaling pathway	ORIGINAL_10	KEGG	KEGG_WNT_SIGNALING_PATHWAY	FALSE	-1.02791280613181	0.731824041534957	1.2602679101299	0.0767690253671562	1.13890022042944	0.224282079243911	NS	FALSE	FALSE	FALSE	0	FRACA	avaliada via candidatos (ITGA2/FN1/CCND1 replicados em GSE33630/GSE60542/GSE224356)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04350	TGF-beta signaling pathway	ADDITIONAL_20	KEGG	KEGG_TGF_BETA_SIGNALING_PATHWAY	FALSE	-0.937334650932559	0.782419495213229	1.21535763253605	0.14104134762634	1.17969779445929	0.210321324245375	NS	FALSE	FALSE	FALSE	0	FRACA	não avaliada diretamente (candidatos como proxy)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04390	Hippo signaling pathway	ADDITIONAL_20	KEGG	NA	FALSE	-0.766815684449546	0.973747588079754	1.70956510819951	0.000383565661347794	1.72829026083372	0.000178042839947328	NS	FALSE	FALSE	FALSE	0	FRACA	não avaliada diretamente (candidatos como proxy)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04510	Focal adhesion	ADDITIONAL_20	KEGG	KEGG_FOCAL_ADHESION	FALSE	-0.982792383027502	0.782419495213229	1.47583361156996	0.00808675338243603	1.4288019954905	0.0111476588248157	NS	FALSE	FALSE	FALSE	0	FRACA	avaliada via candidatos (ITGA2/FN1/CCND1 replicados em GSE33630/GSE60542/GSE224356)	ECM/adesão (tumor+estroma)	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04512	ECM-receptor interaction	ADDITIONAL_20	KEGG	KEGG_ECM_RECEPTOR_INTERACTION	FALSE	-1.24782900423867	0.315408297163622	-1.22922130245548	0.14104134762634	0.964673569203266	0.559341186138885	NS	FALSE	FALSE	FALSE	0	FRACA	avaliada via candidatos (ITGA2/FN1/CCND1 replicados em GSE33630/GSE60542/GSE224356)	ECM/adesão (tumor+estroma)	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04612	Antigen processing and presentation	ADDITIONAL_20	KEGG	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	TRUE	2.44021291067635	3.22243305058975e-06	2.35902406519742	7.5618545056823e-08	2.33273592639772	1.23021171312257e-07	ROBUSTA	TRUE	TRUE	TRUE	4	ROBUSTA	não avaliada diretamente (candidatos como proxy)	imune	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04620	Toll-like receptor signaling pathway	ADDITIONAL_20	KEGG	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	FALSE	0.947708133990424	0.782419495213229	1.46432248523234	0.0273231256599789	1.31947311395742	0.0830953740719589	NS	FALSE	TRUE	FALSE	1	FRACA	não avaliada diretamente (candidatos como proxy)	imune	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04630	JAK-STAT signaling pathway	ADDITIONAL_20	KEGG	KEGG_JAK_STAT_SIGNALING_PATHWAY	FALSE	-0.836674143896236	0.944294158901914	0.861042085617773	0.846514203282893	0.833228621449998	0.891121031746032	NS	FALSE	FALSE	FALSE	0	FRACA	não avaliada diretamente (candidatos como proxy)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04657	IL-17 signaling pathway	ADDITIONAL_20	KEGG	NA	FALSE	1.07541922134872	0.638382315614592	0.905930178432013	0.716091746433087	0.988069325675527	0.537203870537204	NS	FALSE	TRUE	FALSE	1	FRACA	não avaliada diretamente (candidatos como proxy)	imune	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04668	TNF signaling pathway	ADDITIONAL_20	KEGG	NA	FALSE	-0.655552604592911	0.980236757624398	1.21608514185123	0.14104134762634	1.01729092419533	0.506806475349522	NS	FALSE	FALSE	FALSE	0	FRACA	não avaliada diretamente (candidatos como proxy)	imune	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa04919	Thyroid hormone signaling	ORIGINAL_10	KEGG	NA	FALSE	-0.994616651484511	0.782419495213229	1.33012037666336	0.0588985635849371	1.15693691239913	0.22609862462261	NS	FALSE	FALSE	FALSE	0	FRACA	avaliada via candidatos (ITGA2/FN1/CCND1 replicados em GSE33630/GSE60542/GSE224356)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
hsa05216	Thyroid cancer	ORIGINAL_10	KEGG	KEGG_THYROID_CANCER	FALSE	1.04282117426549	0.704438025210084	1.50659873577784	0.0553582619594736	1.55797995528654	0.0391333938294011	NS	FALSE	TRUE	FALSE	1	FRACA	avaliada via candidatos (ITGA2/FN1/CCND1 replicados em GSE33630/GSE60542/GSE224356)	tumor-intrínseco/misto	sim — mecanismo coerente com carcinoma tireoidiano/proliferação/ECM
